order_id,fecha,cliente,producto,categoria,precio_unitario,cantidad,ciudad,metodo_pago
1,2025-01-02,Juan Antonio Juan Urrutia Sierra,Aspiradora,Hogar,1116,1,Zaragoza,Transferencia
2,2025-01-14,Tere Gibert-Tapia,Auriculares,Electrónica,351,4,Madrid,Transferencia
3,2024-10-10,Tito Acero Ariza,Aspiradora,Hogar,320,1,Bilbao,PayPal
4,2025-02-07,Narciso Gómez Quero,Cafetera,Hogar,1042,5,Madrid,Transferencia
5,2025-03-15,Anselma Mayoral Fortuny,Mesa,Hogar,400,4,Valencia,PayPal
6,2024-10-03,Enrique Portero Naranjo,Smartphone,Electrónica,126,2,Zaragoza,Transferencia
7,2025-01-30,Maximiliano Bravo Linares,Patines,Deportes,920,5,Madrid,Tarjeta
8,2025-03-09,Máxima Arias Zamorano,Consola portátil,Juguetes,1463,2,Valencia,Tarjeta
9,2024-10-01,Martin Cuadrado Narváez,Patines,Deportes,1181,4,Murcia,Tarjeta
10,2024-10-20,María José Tomás Salcedo,Tablet,Electrónica,796,5,Murcia,PayPal
11,2025-04-19,Marita Perera Ríos,Pelota,Juguetes,1248,1,Zaragoza,PayPal
12,2025-06-10,Ernesto Cleto Torralba Mora,Patines,Deportes,1080,2,Bilbao,Tarjeta
13,2025-03-14,Trini del Mayol,Consola portátil,Juguetes,988,5,Madrid,PayPal
14,2025-05-06,Abel del Escobar,Zapatillas,Ropa,615,5,Valencia,Transferencia
15,2025-08-10,Balduino de Lamas,Puzzle,Juguetes,364,3,Zaragoza,PayPal
16,2025-05-18,Martin Pomares Ballester,Coche teledirigido,Juguetes,1370,3,Valencia,PayPal
17,2024-12-17,Montserrat Oliver Tirado,Coche teledirigido,Juguetes,107,2,Málaga,PayPal
18,2025-03-16,Lino Valenciano Agullo,Bicicleta,Deportes,1003,5,Málaga,Transferencia
19,2025-06-02,Ale Sola Cifuentes,Bicicleta,Deportes,1350,2,Murcia,Tarjeta
20,2024-12-25,Olegario Galindo,Pelota,Juguetes,141,2,Bilbao,Tarjeta
21,2024-12-02,Lázaro Osuna Bejarano,Lámpara,Hogar,799,3,Zaragoza,Transferencia
22,2025-07-21,Celso Uriarte-Navarro,Tablet,Electrónica,686,4,Bilbao,Tarjeta
23,2025-07-15,Noelia Mamen Hervás Manzanares,Raqueta,Deportes,1156,5,Valencia,Transferencia
24,2025-04-10,Genoveva Juárez Cervantes,Consola portátil,Juguetes,1050,3,Zaragoza,Transferencia
25,2025-09-21,Lucía Soto Chaves,Coche teledirigido,Juguetes,154,4,Madrid,Transferencia
26,2025-01-16,Lorenza Campos,Coche teledirigido,Juguetes,1088,4,Málaga,Transferencia
27,2025-02-11,Felicidad del Ayllón,Aspiradora,Hogar,1409,1,Zaragoza,Transferencia
28,2025-06-29,Isa Salmerón,Zapatillas,Ropa,113,3,Sevilla,Transferencia
29,2025-02-19,Fabián de Larrañaga,Tablet,Electrónica,151,2,Sevilla,Tarjeta
30,2025-06-18,Asdrubal Sosa Fonseca,Raqueta,Deportes,1370,4,Madrid,Transferencia
31,2025-04-01,Julián Puig,Auriculares,Electrónica,181,3,Valencia,PayPal
